"Voltage vs. RHE (V)","CO, pc-Cu (CO$_2$R), (Jaramillo), pH = 6.8","HCOOH, pc-Cu (CO$_2$R), (Jaramillo), pH = 6.8","C$_1$, pc-Cu (CO$_2$R), (Jaramillo),  pH = 6.8","H$_2$, pc-Cu (CO$_2$R), (Jaramillo), pH = 6.8","C$_{2+}$, pc-Cu, (CO$_2$R), (Jaramillo), pH = 6.8","CH$_4$, pc-Cu, (CO$_2$R), (Jaramillo), pH = 6.8","MeOH, pc-Cu, (CO$_2$R), (Jaramillo), pH = 6.8","C$_2$H$_4$, pc-Cu, (CO$_2$R), (Jaramillo), pH = 6.8","EtOH, pc-Cu, (CO$_2$R), (Jaramillo), pH = 6.8","GlycAld, pc-Cu, (CO$_2$R), (Jaramillo), pH = 6.8","AcetAld, pc-Cu, (CO$_2$R), (Jaramillo), pH = 6.8","CH$_3$COO, pc-Cu, (CO$_2$R), (Jaramillo), pH = 6.8","EtGlyc, pc-Cu, (CO$_2$R), (Jaramillo), pH = 6.8","n-PrOH, pc-Cu, (CO$_2$R), (Jaramillo), pH = 6.8","AllylAlc, pc-Cu, (CO$_2$R), (Jaramillo), pH = 6.8","Acetone, pc-Cu, (CO$_2$R), (Jaramillo), pH = 6.8"
-1.16953,0.050286,0.0802842,7.11291872,8.9585376,1.933639374,7.1109606,0.00195812,1.6119264,0.2902716,,,0.006070578,0.002308596,0.0230622,,
-1.13811,0.053036222,0.099335741,4.904196935,3.97832904,2.805233926,4.887293936,0.016902999,1.875865433,0.677344815,0.075451068,0.020822535,0.018985253,0.009280383,0.108767124,0.013595891,0.005121425
-1.09361,0.058212905,0.130725335,2.735503478,2.04824551,3.152754346,2.731762805,0.003740673,1.932649995,0.849207275,0.032381505,0.02417081,0.02140316,0.013376975,0.19207491,0.080354105,0.007135611
-1.05439,0.063411618,0.120972583,1.443652753,1.335898988,2.396881026,1.442510878,0.001141876,1.535175758,0.576141528,0.016488203,0.02032954,0.017670153,0.007505383,0.149812163,0.068907685,0.004850616
-1.01297,0.143793792,0.382784565,0.622344252,0.905405294,1.080147849,0.621311832,0.00103242,0.639138982,0.200698055,0.000431036,0.00613254,0.008735304,0.005062911,0.142973743,0.05779562,0.000829843
-0.95526,0.12627,0.331191875,0.05955125,0.575744688,0.311548703,0.057473438,0.002077813,0.194551875,0.04758,,0.002611563,0.00168906,0.000540157,0.051182813,0.004594063,0.000259174
-0.88722,0.107513952,0.302764507,0.009033338,0.463457006,0.044723638,0.009033338,,0.044723638,,,,,,,,
-0.81724,0.06552528,0.194833876,0.001192773,0.375534679,0.015814967,0.001192773,,0.015814967,,,,,,,,
-0.74561,0.063338487,0.106145806,0.000377348,0.341348612,0.002380025,0.000377348,,0.002380025,,,,,,,,
-0.67218,,,,0.301111069,,,,,,,,,,,,
