E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER,E ( V vs. RHE),HER,E ( V vs. RHE),HER,E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER (normalized),,,
,1 bar CO,,0.5 bar CO,,0.1  bar CO,,0.01  bar CO,,,,,,,,,380
-0.435,0.15008,-0.485,0.14616,-0.485,0.13569,-0.485,0.10837,-0.69674,3.22036,-0.6849,10.37251,-0.6849,0.027296079,,,
-0.485,0.27588,-0.534,0.2769,-0.534,0.29143,-0.535,0.21875,-0.6966,3.24361,-0.68367,10.36041,-0.68367,0.027264237,,,
-0.534,0.42919,-0.583,0.42151,-0.584,0.50657,-0.584,0.42199,-0.69648,3.22659,-0.68321,10.33349,-0.68321,0.027193395,,,
-0.583,0.49003,-0.632,0.4746,-0.633,0.63353,-0.633,0.71371,-0.69621,3.20102,-0.68315,10.31522,-0.68315,0.027145316,,,
-0.633,0.36867,-0.6712,0.94657,-0.68,1.23699,-0.682,0.98657,-0.69638,3.15895,-0.68285,10.251,-0.68285,0.026976316,,,
-0.682,0.59339,-0.719,1.72433,-0.729,1.94945,-0.729,2.0102,-0.6959,3.1391,-0.68254,10.14537,-0.68254,0.026698342,,,
-0.73,1.34986,-0.763,2.7878,-0.769,4.16585,-0.769,3.79661,-0.69586,3.10673,-0.68228,10.17414,-0.68228,0.026774053,,,
-0.775,2.59676,,,,,,,-0.69491,3.09914,-0.68161,10.17319,-0.68161,0.026771553,,,
,,,,,,,,-0.69424,3.09193,-0.68098,10.18215,-0.68098,0.026795132,,,
,,,,,,,,-0.69386,3.06258,-0.68095,10.18308,-0.68095,0.026797579,,,
,,,,,,,,-0.69388,3.03158,-0.68057,10.14137,-0.68057,0.026687816,,,
,,,,,,,,-0.69322,3.02069,-0.67996,10.13566,-0.67996,0.026672789,,,
,,,,,,,,-0.69247,3.00637,-0.67978,10.04154,-0.67978,0.026425105,,,
,,,,,,,,-0.69157,3.00595,-0.67891,10.04398,-0.67891,0.026431526,,,
,,,,,,,,-0.69185,2.95981,-0.67876,10.05342,-0.67876,0.026456368,,,
,,,,,,,,-0.69127,2.94781,-0.67856,9.92303,-0.67856,0.026113237,,,
,,,,,,,,-0.69105,2.91612,-0.67792,9.92108,-0.67792,0.026108105,,,
,,,,,,,,-0.69033,2.90561,-0.6773,9.84481,-0.6773,0.025907395,,,
,,,,,,,,-0.68882,2.92383,-0.67639,9.78088,-0.67639,0.025739158,,,
,,,,,,,,-0.68878,2.88827,-0.6761,9.76295,-0.6761,0.025691974,,,
,,,,,,,,-0.68867,2.86014,-0.67582,9.78869,-0.67582,0.025759711,,,
,,,,,,,,-0.68851,2.82324,-0.67594,9.73673,-0.67594,0.025622974,,,
,,,,,,,,-0.68766,2.82385,-0.6749,9.65617,-0.6749,0.025410974,,,
,,,,,,,,-0.68709,2.80322,-0.67462,9.65498,-0.67462,0.025407842,,,
,,,,,,,,-0.68631,2.80127,-0.67362,9.63607,-0.67362,0.025358079,,,
,,,,,,,,-0.68571,2.78192,-0.67296,9.60047,-0.67296,0.025264395,,,
,,,,,,,,-0.6858,2.74461,-0.67308,9.62602,-0.67308,0.025331632,,,
,,,,,,,,-0.68537,2.72122,-0.67275,9.59258,-0.67275,0.025243632,,,
,,,,,,,,-0.68502,2.70163,-0.67247,9.61925,-0.67247,0.025313816,,,
,,,,,,,,-0.68409,2.69903,-0.67139,9.59142,-0.67139,0.025240579,,,
,,,,,,,,-0.68406,2.66239,-0.67118,9.58385,-0.67118,0.025220658,,,
,,,,,,,,-0.68378,2.64122,-0.67144,9.41339,-0.67144,0.024772079,,,
,,,,,,,,-0.68261,2.64342,-0.67021,9.40837,-0.67021,0.024758868,,,
,,,,,,,,-0.68179,2.64059,-0.66942,9.36522,-0.66942,0.024645316,,,
,,,,,,,,-0.68113,2.62554,-0.66894,9.3511,-0.66894,0.024608158,,,
,,,,,,,,-0.68034,2.61802,-0.66789,9.36253,-0.66789,0.024638237,,,
,,,,,,,,-0.68045,2.58644,-0.6676,9.28525,-0.6676,0.024434868,,,
,,,,,,,,-0.68021,2.55888,-0.66782,9.27329,-0.66782,0.024403395,,,
,,,,,,,,-0.6793,2.54629,-0.66709,9.22627,-0.66709,0.024279658,,,
,,,,,,,,-0.67863,2.54158,-0.66601,9.35832,-0.66601,0.024627158,,,
,,,,,,,,-0.67778,2.52878,-0.66553,9.3511,-0.66553,0.024608158,,,
,,,,,,,,-0.67735,2.50981,-0.66491,9.26966,-0.66491,0.024393842,,,
,,,,,,,,-0.67649,2.49739,-0.66444,9.13186,-0.66444,0.024031211,,,
,,,,,,,,-0.6764,2.47393,-0.66452,9.07305,-0.66452,0.023876447,,,
,,,,,,,,-0.67594,2.44781,-0.66375,9.11917,-0.66375,0.023997816,,,
,,,,,,,,-0.67517,2.4501,-0.66287,9.06054,-0.66287,0.023843526,,,
,,,,,,,,-0.67495,2.41753,-0.66259,9.13083,-0.66259,0.0240285,,,
,,,,,,,,-0.67435,2.39803,-0.66257,8.99871,-0.66257,0.023680816,,,
,,,,,,,,-0.674,2.37295,-0.66214,8.94754,-0.66214,0.023546158,,,
,,,,,,,,-0.67356,2.36429,-0.66126,8.90553,-0.66126,0.023435605,,,
,,,,,,,,-0.67236,2.36269,-0.66055,8.91856,-0.66055,0.023469895,,,
,,,,,,,,-0.67131,2.35783,-0.65923,8.90824,-0.65923,0.023442737,,,
,,,,,,,,-0.67063,2.34976,-0.6585,8.87395,-0.6585,0.0233525,,,
,,,,,,,,-0.67039,2.33466,-0.65831,8.85346,-0.65831,0.023298579,,,
,,,,,,,,-0.66989,2.30734,-0.65823,8.83805,-0.65823,0.023258026,,,
,,,,,,,,-0.66923,2.29039,-0.65775,8.83554,-0.65775,0.023251421,,,
,,,,,,,,-0.6692,2.27029,-0.65724,8.81737,-0.65724,0.023203605,,,
,,,,,,,,-0.6682,2.26393,-0.65613,8.75193,-0.65613,0.023031395,,,
,,,,,,,,-0.66734,2.24983,-0.65611,8.71425,-0.65611,0.022932237,,,
,,,,,,,,-0.66678,2.24107,-0.65525,8.63744,-0.65525,0.022730105,,,
