surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	ele	0.0	[]	gas phase calcs
None	gas	OH	0.0	[]	gas phase calcs
None	gas	H2	0.0	[0.3,0.8,4450.3]	This work
None	gas	H2O	0.0	[211.4,250.4,1634.7,3753.1,3849.2]	This work
None	gas	CO	0.0	[6.2,14.3,2157.1]	This work
None	gas	CO2	-0.466756294	[2.3,5.5,633.1,633.7,1347.6,2384.0]	This work
None	gas	CH4	-2.526948129	[51.8, 65.8, 75.6, 1329.3, 1329.6, 1331.7, 1547.3, 1548.3, 2992.3, 3118.4, 3118.9, 3119.4]	This work
None	gas	CH3CH2OH	-3.334513872	[25.6,98.0,132.1,244.5,285.9,427.3,814.3,872.8,1008.4,1070.6,1159.1,1254.9,1278.5,1389.7,1424.1,1468.7,1485.8,1508.3,2953.1,2975.9,3004.9,3085.1,3087.1,3758.5]	None
Cu	211	H	-0.015515062	[459.5,563.0,995.3]	This work
Cu	211	H2O-ele	0.897912979	[902.6, 1205.4, 1784.9]	This work
Cu	211	H-H	0.728969876	[129.1, 218.3, 426.7, 4083.2]	This work
Cu	211	H-H2O-ele	0.714484938	[420.6, 445.7, 799.4, 1078.9, 1145.2, 1915.9]	This work
Cu	211	CO2	-0.535243294	[242.3,246.5,303.2,321.1,363.3,748.1,1186.6,1443.0]	Xinyan
Cu	211	CO	-0.900587	[2040.0,306.9,268.2,261.1,99.7,68.7]	This work
Cu	211	CO-	-0.167291	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work
Cu	211	CO2-	-0.859729294	[137.4, 159.3, 212.3, 239.8, 369.3, 443.0, 1230.7, 2142.9]	FS freq
Cu	211	COOH-H2O-ele	-0.203365076	[79.1, 110.1, 221.3, 269.0, 360.9, 669.6, 711.2, 1107.9, 1272.6, 1483.8, 3496.2]	This work
Cu	211	CO2-H2O-ele	-0.535243294	[242.3,246.5,303.2,321.1,363.3,748.1,1186.6,1443.0]	This work
Cu	211	COOH	-0.873365076	[79.1, 110.1, 221.3, 269.0, 360.9, 669.6, 711.2, 1107.9, 1272.6, 1483.8, 3496.2]	# with 0.25 eV correction
Cu	211	CHO	-0.545434239	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work
Cu	211	CHO-H2O-ele	0.334565761	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work
Cu	211	CHOH	-0.147270401	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work
Cu	211	OCCO	-0.949293555	[161.3,176.3,203.4,260.2,323.5,336.3,358.5,540.2,654.6,808.5,1375.4,1594.3]	This work
Cu	211	OCCO-H2O-ele	-0.328178113	[193.8, 232.2, 247.3, 320.6, 327.4, 341.4, 370.5, 527.8, 650.3, 830., 1081., 1319.6, 1395.1, 1595.8, 2555.3]	This work
Cu	211	OCCOH	-0.992387	[148.9, 196.4, 213.8, 243.5, 264.2, 316.5, 324.1, 512.9, 681.9, 775.4, 881.0, 1029.9, 1292.6, 1348.3, 3415.8]	This work
Cu	211	OC-CO	-1.28681	[61.4, 99.3, 144.3, 228.3, 246.8, 260.2, 275.1, 330.0, 515.6, 1558.5, 1709.3]	This work
