surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	ele	0.0	[]	gas phase calcs
None	gas	H	0.0	[]	gas phase calcs
None	gas	CH4	-2.526948129	[51.8, 65.8, 75.6, 1329.3, 1329.6, 1331.7, 1547.3, 1548.3, 2992.3, 3118.4, 3118.9, 3119.4]	This work
None	gas	H2	0.0	[0.3, 0.8, 4450.3]	This work
None	gas	H2O	0.0	[211.4, 250.4, 1634.7, 3753.1, 3849.2]	This work
None	gas	CO	0.0	[6.2, 14.3, 2157.1]	This work
None	gas	O2	0.0	[]	Dummy ads for barrier scaling
None	gas	CH3CH2OH	-3.334513872	[25.6,98.0,132.1,244.5,285.9,427.3,814.3,872.8,1008.4,1070.6,1159.1,1254.9,1278.5,1389.7,1424.1,1468.7,1485.8,1508.3,2953.1,2975.9,3004.9,3085.1,3087.1,3758.5]	None
None	gas	CH2O	-0.182120533	[23.8, 47.1, 1137.6, 1242.0, 1480.1, 1771.7, 2904.5, 2914.0]	vib from jongsuk
None	gas	CO2	-0.466756294	[2.3, 5.5, 633.1, 633.7, 1347.6, 2384.0]	This work
Cu	dl	CH2O	-0.182120533	[1., 1., 1., 1., 23.8, 47.1, 1137.6, 1242.0, 1480.1, 1771.7, 2904.5, 2914.0]	vib from jongsuk
Cu	211	CO2-	-0.859729294	[137.4, 159.3, 212.3, 239.8, 369.3, 443.0, 1230.7, 2142.9]	FS freq
Cu	211	CO2	-0.535243294	[242.3, 246.5, 303.2, 321.1, 363.3, 748.1, 1186.6, 1443.0]	This work
Cu	211	COOH	-0.873365076	[79.1, 110.1, 221.3, 269.0, 360.9, 669.6, 711.2, 1107.9, 1272.6, 1483.8, 3496.2]	# with 0.25 eV correction
Cu	211	CO-OHH-ele	-0.203365076	[79.1, 110.1, 221.3, 269.0, 360.9, 669.6, 711.2, 1107.9, 1272.6, 1483.8, 3496.2]	This work
Cu	211	CO-	-0.167291	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work
Au	111	O2	9.0	[]	Fake ads
Ag	111	O2	9.0	[]	Fake ads
Cu	111	O2	9.0	[]	Fake ads
Pd	111	O2	9.0	[]	Fake ads
Pt	111	O2	9.0	[]	Fake ads
Rh	111	O2	9.0	[]	Fake ads
Ni	111	O2	9.0	[]	Fake ads
Ir	111	O2	9.0	[]	Fake ads
Au	211	O2	9.0	[]	Fake ads
Ag	211	O2	9.0	[]	Fake ads
Cu	211	O2	9.0	[]	Fake ads
Pd	211	O2	9.0	[]	Fake ads
Pt	211	O2	9.0	[]	Fake ads
Rh	211	O2	9.0	[]	Fake ads
Ni	211	O2	9.0	[]	Fake ads
Ir	211	O2	9.0	[]	Fake ads
Au	100	O2	9.0	[]	Fake ads
Ag	100	O2	9.0	[]	Fake ads
Cu	100	O2	9.0	[]	Fake ads
Pd	100	O2	9.0	[]	Fake ads
Pt	100	O2	9.0	[]	Fake ads
Rh	100	O2	9.0	[]	Fake ads
Ni	100	O2	9.0	[]	Fake ads
Ir	100	O2	9.0	[]	Fake ads
NiGas	211	O2	9.0	[]	Fake ads
NiGat	211	O2	9.0	[]	Fake ads
Cu	100	CH	-0.340908302	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work
